---,PhysicalDefense,MagicalDefense,Strength,Intelligence,Luck,Speed,Tolerances,SpecialEffect,EffectValue
CasualClothes,2,0,0,0,0,0,(),None,0
HoboClothes,2,0,0,0,0,0,(),None,0
ClothTunic,4,0,0,0,0,0,(),None,0
SilkRobe,4,0,0,2,0,0,(),None,0
ThreeSevens,4,0,7,7,7,0,(),None,0
Poncho,7,0,0,0,0,0,(),None,0
LeatherArmor,6,0,0,0,0,0,(),None,0
Houppelande,5,0,0,0,0,0,(),None,0
GymClothes,8,2,0,0,0,5,(),None,0
KungFuSuit,9,0,2,0,0,0,(),None,0
MageRobe,8,0,0,5,0,0,(),None,0
CombatFatigues,10,0,0,0,0,0,(),None,0
Breastplate,12,0,0,0,0,0,(),None,0
Tailcoat,3,0,0,0,0,0,(),None,0
BikerJacket,9,2,2,0,0,0,(),None,0
AdrenalineGear,15,0,0,0,0,0,(),rDamageSlowMotion,0.5
WarFatigues,15,0,6,0,0,0,(),None,0
RingMail,16,0,0,0,0,0,(),None,0
ElfinRobe,16,0,0,8,0,0,(),None,0
Justaucorps,12,2,2,2,0,0,(),None,0
TuxedoCoat,10,0,0,0,2,0,(),None,0
NinjaSuit,17,2,4,0,0,8,(),None,0
ScaleMail,20,0,0,0,0,0,(),None,0
BattleJacket,7,0,0,0,0,0,"((Slash, VeryStrong))",None,0
Surcoat,18,5,0,5,0,0,(),None,0
Kalasiris,20,0,0,0,0,0,(),None,0
WyrmRobe,22,0,0,0,0,0,"((Fire, VeryStrong))",None,0
ArmyJacket,24,0,0,0,0,0,"((Slash, VeryStrong))",None,0
HealingMail,12,0,0,0,0,0,(),fWalkRecovery,2
MirrorCuirass,0,0,0,0,0,0,(),bResistStatus,4
SpikedMail,0,0,0,0,0,0,(),fContactDamage,32
ChainMail,25,0,0,0,0,0,(),None,0
CopperPlate,9,0,0,0,0,0,(),None,0
IronPlate,15,0,0,0,0,0,(),None,0
SilverPlate,18,0,0,0,0,0,(),None,0
GoldPlate,25,0,0,0,0,0,(),None,0
Lorica,32,3,3,0,0,0,(),None,0
PlatinumPlate,45,0,0,0,0,0,(),None,0
SamuraiPlate,35,20,0,0,0,0,(),None,0
HolyMail,25,10,0,0,0,0,"((Light, VeryStrong))",None,0
BlockingMail,16,0,0,0,0,0,(),fIgnoreDamageRate,0.05
FeatherGear,32,0,0,0,0,0,(),rKnockbackRate,3
Aquarius,28,0,0,0,0,0,"((Ice, VeryStrong))",None,0
PitchBlackSuit,29,0,0,2,0,0,(),None,0
Hauberk,31,0,0,0,0,0,(),None,0
SerenityRobe,34,0,0,10,0,0,(),None,0
Cuirass,38,0,0,0,0,0,(),None,0
ScoutArmor,25,0,0,0,0,0,(),rMapCompPowerRate,0.3
HeavyArmor,55,40,5,0,0,0,(),None,0
